                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.89741,                 1.5566,                 1.2115,                0.59071,                0.72708,                0.72266,                0.56891,                0.85695,                 1.3087,                 1.4028,                0.07025,              0.0033056,              0.0033056
                      1,                0.74987,                0.87536,                 1.1047,                0.67525,                0.63462,                0.66654,                0.50297,                  0.991,                 1.1571,                 1.5309,                0.04014,              0.0065293,              0.0065293
                      2,                0.78306,                0.87836,                  1.119,                0.59429,                0.47141,                0.52715,                0.36105,                 1.2996,                 1.7209,                  1.763,              0.0099209,              0.0096431,              0.0096431
                      3,                0.83002,                0.91412,                 1.1513,                0.40676,                0.48697,                0.29114,                0.20411,                 1.5267,                 2.4034,                 1.8977,               0.009505,               0.009505,               0.009505
                      4,                0.84375,                 0.9164,                 1.1632,                0.68469,                0.71957,                0.72946,                  0.533,                 1.1195,                 1.4135,                 1.6192,               0.009505,               0.009505,               0.009505
                      5,                 0.8079,                0.86747,                 1.1295,                0.74073,                0.63132,                 0.7049,                0.53397,                 1.0209,                   1.34,                 1.5099,                0.00934,                0.00934,                0.00934
                      6,                0.79146,                0.83871,                 1.1355,                0.87814,                0.80514,                0.88726,                0.72716,                0.84061,                0.90999,                 1.3759,               0.009175,               0.009175,               0.009175
                      7,                0.78613,                0.81657,                  1.117,                0.65203,                 0.6502,                0.71545,                0.55074,                 0.9898,                 1.3146,                 1.5386,                0.00901,                0.00901,                0.00901
                      8,                0.77736,                0.78307,                 1.1198,                0.86113,                0.78688,                0.86756,                0.70639,                0.80567,                0.84757,                 1.3627,               0.008845,               0.008845,               0.008845
                      9,                0.75816,                0.77127,                 1.1082,                0.73286,                0.82091,                0.85321,                0.66357,                0.92509,                0.88971,                  1.409,                0.00868,                0.00868,                0.00868
                     10,                0.74465,                0.75791,                 1.1022,                0.75324,                0.68038,                0.79902,                0.64961,                0.83684,                 1.0889,                 1.3511,               0.008515,               0.008515,               0.008515
                     11,                0.73488,                0.74263,                 1.0901,                0.79312,                 0.7612,                0.82056,                0.66159,                0.85922,                0.89324,                 1.4079,                0.00835,                0.00835,                0.00835
                     12,                0.72921,                0.74774,                 1.0891,                0.79316,                0.82303,                0.87373,                0.71661,                0.82388,                0.83887,                 1.3742,               0.008185,               0.008185,               0.008185
                     13,                0.72247,                0.72534,                 1.0841,                0.82756,                0.78678,                0.84682,                0.69578,                0.76919,                0.75796,                 1.2956,                0.00802,                0.00802,                0.00802
                     14,                0.69498,                0.69252,                 1.0755,                  0.706,                0.78912,                 0.8613,                0.71045,                0.83103,                 0.8779,                 1.3211,               0.007855,               0.007855,               0.007855
                     15,                0.68541,                0.67496,                 1.0706,                0.54913,                0.52526,                0.53071,                0.42777,                 1.1826,                 1.9826,                 1.6885,                0.00769,                0.00769,                0.00769
                     16,                0.68986,                0.65787,                 1.0698,                0.77932,                0.67893,                0.83668,                0.69191,                0.87002,                0.94315,                 1.3743,               0.007525,               0.007525,               0.007525
                     17,                0.68002,                0.63995,                 1.0608,                0.73517,                0.78481,                0.87631,                0.74605,                 0.7127,                0.77918,                 1.2311,                0.00736,                0.00736,                0.00736
                     18,                0.67131,                0.63814,                 1.0548,                0.89639,                0.82589,                0.91681,                 0.7779,                0.71543,                0.65922,                 1.2391,               0.007195,               0.007195,               0.007195
                     19,                0.66022,                0.62355,                 1.0533,                0.86611,                0.70501,                0.85914,                0.70708,                0.80596,                0.87894,                 1.3345,                0.00703,                0.00703,                0.00703
                     20,                0.64903,                0.61075,                  1.038,                0.66569,                0.52668,                0.62996,                0.50884,                0.96241,                 1.6307,                 1.5496,               0.006865,               0.006865,               0.006865
                     21,                0.64217,                0.60933,                 1.0388,                0.90427,                0.81776,                 0.9167,                0.76603,                0.69926,                0.68504,                 1.2365,                 0.0067,                 0.0067,                 0.0067
